Date,Open,High,Low,Close,Adj Close,Volume
7/30/2018,252.589996,252.830002,242.720001,244.130005,243.501694,8508500
7/31/2018,243.710007,247.880005,242.139999,244.860001,244.229813,7099700
8/1/2018,246.130005,248.360001,243.889999,246.470001,245.835663,7088900
8/2/2018,243.589996,250.779999,241.210007,250.619995,249.974976,6741700
8/3/2018,251.610001,253.059998,250.929993,252.100006,251.451172,5357200
8/6/2018,251.589996,254.169998,249.710007,254.029999,253.376205,5187700
8/7/2018,256,257.700012,254.919998,256.950012,256.288696,6453300
8/8/2018,257,260.23999,255.589996,258.420013,257.754944,6552500
8/9/2018,259.140015,259.25,256.149994,256.459991,255.799942,5099000
8/10/2018,253.149994,256.100006,252.699997,254.789993,254.134247,6409900
8/13/2018,255.139999,261,255.070007,256.119995,255.460815,9345600
8/14/2018,260.380005,262,257.019989,261.429993,260.757141,11655500
8/15/2018,262.269989,263.640015,255.899994,259.079987,258.413177,14778400
8/16/2018,261.899994,262,255.009995,257.440002,256.777466,20031500
8/17/2018,252.940002,252.970001,243.729996,244.820007,244.189911,28579700
8/20/2018,243.179993,253.199997,238.720001,247.839996,247.202133,21359700
8/21/2018,248.5,253.5,247.699997,253.320007,252.668045,16849700
8/22/2018,252,263.019989,251.860001,262.820007,262.143585,18746400
8/23/2018,261.26001,269.480011,260.700012,266.839996,266.153259,18017100
8/24/2018,267.179993,272.809998,267,272.220001,271.519379,13287800
8/27/2018,273.420013,278.899994,272.149994,275.899994,275.189911,12644400
8/28/2018,275.660004,276.579987,269.529999,274.380005,273.673859,11884600
8/29/2018,273.920013,279.5,273.079987,278.48999,277.925171,10502700
8/30/2018,277.230011,281.720001,276.320007,277.809998,277.246582,8665200
8/31/2018,277,281.200012,276.600006,280.679993,280.110748,7664800
9/4/2018,280.149994,285.220001,279,283.700012,283.124664,9793000
9/5/2018,282.98999,284.420013,275.149994,278.420013,277.855377,9828900
9/6/2018,277.76001,277.859985,271.390015,272.720001,272.166901,8069900
9/7/2018,269,276.929993,267.190002,271.859985,271.308655,7385500
9/10/2018,272.769989,275.929993,271,274.730011,274.172852,5503500
9/11/2018,272.859985,276.399994,272.019989,272.799988,272.246735,6077800
9/12/2018,271.190002,271.980011,261.920013,268.200012,267.656067,10477300
9/13/2018,270.859985,275,270.160004,271.339996,270.789703,7638400
9/14/2018,274.98999,279.100006,273.5,276.429993,275.869385,9673400
9/17/2018,275.399994,277.380005,273.149994,273.929993,273.374451,5138200
9/18/2018,274.089996,278.23999,270.75,271.019989,270.470337,7488000
9/19/2018,270.269989,272.700012,268.25,271.980011,271.428436,5621500
9/20/2018,267.049988,268.76001,264.100006,266.279999,265.73996,10764600
9/21/2018,266.76001,268.600006,262.109985,263.450012,262.91571,10878200
9/24/2018,262.200012,265.839996,258.679993,265.700012,265.161133,7347800
9/25/2018,268.369995,269.420013,264.910004,268.410004,267.865662,7009700
9/26/2018,268.609985,270.23999,266.279999,266.920013,266.378662,6713700
9/27/2018,268.339996,269.200012,266.130005,267.399994,266.857697,5360700
9/28/2018,272.730011,281.920013,271.600006,281.019989,280.450043,17734900
10/1/2018,284.160004,292.059998,282.600006,289.359985,288.773132,15551500
10/2/2018,288.25,292.76001,285.579987,286.480011,285.899017,9599100
10/3/2018,289.320007,289.619995,282.529999,286.730011,286.148468,8013800
