Date,Open,High,Low,Close,Adj Close,Volume
3/26/2018,54.580002,56.139999,54.25,56.130001,53.253086,12093900
3/27/2018,56.59,57.240002,54.540001,54.84,52.029205,12243200
3/28/2018,54.810001,55.970001,54.459999,54.700001,51.896381,12925500
3/29/2018,55.040001,55.93,54.619999,55.41,52.569992,8482500
4/2/2018,55.099998,55.240002,53.07,53.810001,51.051998,16469600
4/3/2018,54.290001,55.049999,53.619999,54.779999,51.972275,7930700
4/4/2018,53.799999,55.119999,53.419998,54.990002,52.171516,7496700
4/5/2018,55.490002,55.5,54.439999,55.040001,52.218948,5823300
4/6/2018,54.419998,54.77,53.110001,53.119999,50.397362,8322200
4/9/2018,53.52,54.889999,53.34,53.43,50.691475,7608500
4/10/2018,54.580002,55.009998,54.220001,54.77,51.962791,12009000
4/11/2018,54.189999,55.07,54.150002,55.009998,52.190483,6205300
4/12/2018,55.470001,55.650002,55.02,55.200001,52.370754,7412700
4/13/2018,56.610001,56.790001,55.419998,55.73,52.873585,12588200
4/16/2018,55.939999,55.990002,54.57,54.77,51.962791,7850500
4/17/2018,54.990002,55.68,54.779999,55.349998,52.513062,7089700
4/18/2018,55.139999,55.619999,54.880001,55.23,52.399216,4796800
4/19/2018,54,54.139999,52.5,52.57,49.875549,19179500
4/20/2018,52.810001,52.889999,51.32,51.439999,48.803471,11838200
4/23/2018,51.5,51.810001,50.27,50.529999,47.940105,10961500
4/24/2018,50.880001,51.290001,49.380001,49.939999,47.380352,11670000
4/25/2018,50,50.439999,48.869999,49.75,47.200085,9619200
4/26/2018,49.52,50.59,48.560001,50.470001,47.883186,13684000
4/27/2018,50.75,51.360001,50.490002,51.110001,48.490379,9443100
4/30/2018,51.25,51.82,51,51.009998,48.395508,9469600
5/1/2018,50.759998,51.049999,50.040001,50.82,48.215244,6780500
5/2/2018,51.240002,51.25,49.919998,50.259998,47.683945,8143000
5/3/2018,49.990002,50.540001,49.310001,50.310001,47.731388,8609200
5/4/2018,50.18,52.599998,49.919998,52.490002,49.799652,9880600
5/7/2018,52.580002,53.27,52.52,53.009998,50.292992,9571700
5/8/2018,53.040001,53.27,52.110001,52.860001,50.150688,9930000
5/9/2018,52.860001,53.330002,52.200001,53.169998,50.444801,7016100
5/10/2018,54.450001,55.07,53.950001,54.970001,52.152542,12267200
5/11/2018,54.759998,55.790001,54.619999,55.23,52.399216,9639100
5/14/2018,57.330002,57.799999,56.34,56.740002,53.831821,15400300
5/15/2018,56.5,56.610001,55.220001,55.639999,52.7882,12050500
5/16/2018,55.759998,56.810001,55.669998,56.700001,53.793869,8675600
5/17/2018,56.490002,57.380001,56.389999,56.950001,54.031055,11450700
5/18/2018,56.93,57.990002,56.400002,57.509998,54.562355,11999700
5/21/2018,57.68,58.27,56.77,57.709999,54.752102,14286400
5/22/2018,57.91,58.360001,57.07,57.389999,54.448505,9432500
5/23/2018,56.91,58.860001,56.830002,58.82,55.805214,11281900
5/24/2018,58.580002,59.25,58.049999,59.080002,56.051888,12487200
5/25/2018,58.849998,60,58.810001,59.959999,56.88678,11501500
5/29/2018,59.5,59.599998,57.700001,58.23,55.82267,14696300
5/30/2018,58.41,58.650002,57.66,58.389999,55.976051,9146000
5/31/2018,58,58.57,57.759998,58.119999,55.717216,12813200
6/1/2018,58.34,58.73,58.009998,58.610001,56.186962,8869700
6/4/2018,58.619999,58.869999,57.950001,58.709999,56.282825,9696700
6/5/2018,58.860001,59.599998,58.759998,58.98,56.541656,6562700
6/6/2018,59.259998,59.849998,59.110001,59.84,57.366108,6236700
6/7/2018,62,62.650002,60.220001,60.639999,58.133034,14786100
6/8/2018,60.25,60.619999,59.810001,60.259998,57.768745,7035300
6/11/2018,60.169998,60.419998,59.82,59.93,57.452389,7369500
6/12/2018,60.110001,60.380001,59.549999,59.790001,57.318172,7153500
6/13/2018,59.669998,60.23,59.119999,59.220001,56.771744,9676300
6/14/2018,59.290001,59.700001,58.950001,59.459999,57.001816,8372900
6/15/2018,59.869999,59.950001,58.919998,59.860001,57.385284,13804900
6/18/2018,59.310001,59.369999,58.919998,59.200001,56.752563,6946600
6/19/2018,58.279999,58.740002,57.849998,58.700001,56.273235,7958300
6/20/2018,59.18,59.200001,58.310001,58.790001,56.359516,6526400
6/21/2018,59.209999,59.209999,58.389999,58.75,56.321171,6605400
6/22/2018,58.779999,59.099998,58.43,58.5,56.081505,8074100
6/25/2018,58.09,58.139999,56.610001,57.049999,54.691452,8635900
6/26/2018,57.080002,57.150002,56.310001,56.450001,54.116257,8934700
6/27/2018,56.549999,57.529999,55.139999,55.169998,52.889175,11832400
6/28/2018,55.119999,56.459999,55.09,55.900002,53.588993,11723600
6/29/2018,56.130001,56.860001,56.080002,56.119999,53.7999,11274000
7/2/2018,55.400002,56.220001,55.119999,56.18,53.857418,7299900
7/3/2018,56.41,56.529999,55.25,55.330002,53.042557,3618900
7/5/2018,55.700001,57.43,55.650002,57.380001,55.007809,11728300
7/6/2018,57.459999,58.07,57.029999,57.84,55.448792,8806200
7/9/2018,58.060001,58.310001,57.23,58.040001,55.640526,4577100
7/10/2018,58.060001,58.470001,57.950001,58.369999,55.956879,6848900
7/11/2018,57.43,58.009998,56.740002,57.299999,54.93111,8702000
7/12/2018,57.849998,58.490002,57.310001,58.32,55.908951,8426400
7/13/2018,58.25,58.779999,58.18,58.389999,55.976051,5266100
7/16/2018,58.419998,58.84,58.060001,58.349998,55.937706,5907100
7/17/2018,57.919998,58.91,57.619999,58.91,56.47456,7560300
7/18/2018,59,59,58.369999,58.759998,56.330757,6795100
7/19/2018,58.709999,59.59,58.650002,59.310001,56.858025,8150200
7/20/2018,58.98,59.18,58.400002,58.610001,56.186962,10859700
7/23/2018,58.400002,59.209999,57.82,59.080002,56.637527,8011800
7/24/2018,59.349998,59.619999,58.450001,58.849998,56.417034,6637600
7/25/2018,58.549999,59.5,57.759998,59.419998,56.96347,13143100
7/26/2018,63.049999,63.759998,61.259998,63.580002,60.951492,31025100
7/27/2018,63.220001,63.509998,62.220001,62.689999,60.098286,13488800
7/30/2018,62.650002,62.98,61.93,62.040001,59.475155,9547700
7/31/2018,63.830002,64.660004,63.5,64.089996,61.440403,22350800
8/1/2018,63.549999,64.870003,63.549999,64.349998,61.689651,10706200
8/2/2018,63.959999,65.040001,63.639999,64.769997,62.092289,10618500
8/3/2018,64.739998,65.610001,64.669998,65.400002,62.696247,7809400
8/6/2018,65.860001,66.019997,65.330002,65.730003,63.012608,10878400
8/7/2018,65.93,65.93,65.25,65.440002,62.7346,7810900
8/8/2018,65.209999,65.550003,65.120003,65.160004,62.466175,7912200
8/9/2018,65.099998,65.300003,64.919998,65.080002,62.389484,6629700
8/10/2018,64.650002,64.940002,64.489998,64.82,62.140224,8736000
8/13/2018,65.150002,65.230003,64.650002,64.839996,62.159397,6092300
8/14/2018,65.089996,65.620003,64.769997,65.43,62.725014,7844200
8/15/2018,65.139999,65.82,64.550003,65.68,62.964676,13524800
8/16/2018,65.860001,66.099998,65.529999,65.760002,63.041363,9958800
8/17/2018,65.5,66.190002,65.120003,66.059998,63.32896,15170500
8/20/2018,66.330002,66.589996,65.739998,66.160004,63.424824,13966900
8/21/2018,66.089996,66.779999,66.029999,66.550003,63.798702,12181400
8/22/2018,66.220001,67.080002,66.209999,66.839996,64.076714,13860300
8/23/2018,66.980003,67.290001,66.800003,66.860001,64.095886,12038100
8/24/2018,67,67.360001,66.940002,67.150002,64.373894,16001400
8/27/2018,67.370003,67.480003,67.220001,67.339996,64.556038,12578000
8/28/2018,68.559998,70.489998,67.919998,69.779999,66.895172,24952700
8/29/2018,69.669998,70.07,69.139999,69.199997,66.339149,11874300
8/30/2018,68.970001,69.160004,68,68.139999,65.322968,12027500
8/31/2018,67.989998,69,67.940002,68.709999,65.869408,11166900
9/4/2018,68.739998,70.110001,68.709999,69.980003,67.697777,13024100
9/5/2018,69.800003,71.07,69.309998,70.889999,68.578087,15310700
9/6/2018,70.849998,71.349998,70.190002,70.360001,68.065376,11997700
